Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep
Kinobygning. teaterbygning, opera/konserthus;661;Kartverket;Gyldig;03.01.2022;1;Kino/teater/opera/konsertbygn. bygning for framføring av kino, teater, opera og konserter.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/661;
Kirke, kapell;671;Kartverket;Gyldig;03.01.2022;1;Kirke. kapell. kristent gudshus;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/671;
Kjede/atriumhus;133;Kartverket;Gyldig;03.01.2022;1;Kjedehus: Kjedehus har vertikale boligskiller der de enkelte boligenhetene er kjedetsammen med mellombygninger, ofte garasjer eller boder. Et kjedehus må bestå avminimum 2 boliger, den enkelte bolig har ofte 1 - 3 etasjer og separat inngang. Hver enkelt del skal ha eget bygningspunkt i GAB. Kjedehus benevnes også oftesom eneboliger i kjede.  Atriumhus: Betegnelsenatriumhusbenyttes om sammenbygde hus ivinkelform. Ved hjelp av de tilstøtende ytterveggene på nabohusene og/ellerlevegger får hvert enkelt hus et skjermet og innelukket uteareal/hage.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/133;
Kjøle- og fryselager;232;Kartverket;Gyldig;03.01.2022;1;Kjøle- og fryselager. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/232;
Kjøpesenter, varehus;321;Kartverket;Gyldig;03.01.2022;1;Kjøpesenter, varehus, bygning som inneholder flere forskjellige butikker;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/321;
Klinikk, legekontor/-senter/-vakt/dyresykehus;731;Kartverket;Gyldig;03.01.2022;1;Klinikk. legekontor/legesenter. klinikk, legekontor/-senter/-vakt.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/731;
Kloster;675;Kartverket;Gyldig;03.01.2022;1;Kloster. bygning der menn eller kvinner har trukket seg tilbake for å virkeliggjøre det religiøse ideal, i et lukket samfunn, og etter en bestemt regel.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/675;
Kombinert barne- og ungdomsskole;615;Kartverket;Gyldig;03.01.2022;1;Kombinert barne- og ungdomsskole. skolebygning for skoleklassene 1-10, for barn i alderen 6-15 år.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/615;
Kontor- og administrasjonsbygning, rådhus;311;Kartverket;Gyldig;03.01.2022;1;Kontor- og adm.bygning. rådhus. kontor- og administrasjonsbygning , rådhus.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/311;
Krematorium, gravkapell, bårehus;673;Kartverket;Gyldig;03.01.2022;1;Kremat.. gravkapell. bårehus. bygning for likbrenning (krematorium) eller bygning for oppbevaring av døde mennesker inntil begravelse og kremasjon (gravkapell og bårehus).;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/673;
Labratoriebygning;623;Kartverket;Gyldig;03.01.2022;1;Bygninger for laboratorievirksomhet (f.eks. i industri, sykehus og ved universiteter).;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/623;
Lagerhall;231;Kartverket;Gyldig;03.01.2022;1;Lagerhall. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/231;
Lekepark;611;Kartverket;Gyldig;03.01.2022;1;Lekepark. sted for opphold for barn 1-5 år. Oftest 4-5 timers tilbud, men kan også være heldag. Ingen krav til pedagogisk innhold, og selve huset i lekeparken er ofte lite og dårlig utstyrt, nærmest som spiserom å betrakte. En lekepark er i stor grad basert på at barna skal være ute og leke.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/611;
Mediabygning;313;Kartverket;Gyldig;03.01.2022;1;Radio og TV-hus. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/313;
Messe- og kongressbygning;330;Kartverket;Gyldig;03.01.2022;1;Messe- og kongressbygning. messe- og kongressbygning. Dette gjelder bygninger for messer, utstillinger, kongresser og konferanser;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/330;
Monument;830;Kartverket;Gyldig;03.01.2022;1;Monument. konstruksjoner som er minnesmerker eller kunstverker. Må tilfredsstille krav til bygning;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/830;
Motellbygning;512;Kartverket;Gyldig;03.01.2022;1;Motellbygning. egentlig motorhotell, oftest beliggende langs en hovedferdselsåre. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/512;
Museum, kunstgalleri;641;Kartverket;Gyldig;03.01.2022;1;Museum. kunstgalleri. bygning for utstilling av spesielle gjenstander, og omtale av disse (museum) eller bygning for utstilling og salg av kunst (kunstgalleri);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/641;
Naust, båthus, sjøbu;183;Kartverket;Gyldig;03.01.2022;1;Naust, båthus, sjøbu, frittliggende bygning som primært benyttes til plassering av båt(er). Kan i tillegg benyttes til oppbevaring av forskjellig redskap o.l;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/183;
Naust, redskapshus for fiske;245;Kartverket;Gyldig;03.01.2022;1;Naust/redskapshus for fiske. naust / redskapshus for fiske;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/245;
Offentlig toalett;840;Kartverket;Gyldig;03.01.2022;1;Offentlig toalett. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/840;
Parkeringshus;431;Kartverket;Gyldig;03.01.2022;1;Parkeringshus. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/431;
Politistasjon;821;Kartverket;Gyldig;03.01.2022;1;Politistasjon. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/821;
Postterminal;416;Kartverket;Gyldig;03.01.2022;1;Postterminal. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/416;
Rehabiliteringsinstitusjon, kurbad;723;Kartverket;Gyldig;03.01.2022;1;Rehabiliter.institusjon.kurbad. institusjon der man bor for en kortere eller lengre periode, samtidig som man får behandling;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/723;
Rekkehus;131;Kartverket;Gyldig;03.01.2022;1;Rekkehus har vertikale gjennomgående felles boligskiller og hver boligenhet skal ligge på grunnen. Rekkehus skal ikke inneholde fellesareal for eksempel tilboder eller garasje. Et rekkehus må bestå av minimum 3 boliger, den enkeltebolig har ofte 1 - 3 etasjer og separat inngang. Hver enkelt del skal ha egetbygningspunkt i GAB.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/131;
Restaurantbygning, kafébygning;531;Kartverket;Gyldig;03.01.2022;1;Restaurantbygning, kafébygning, Restaurantbygning eller  kafébygning.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/531;
Samfunnshus, grendehus;662;Kartverket;Gyldig;03.01.2022;1;Samfunnshus, grendehus, sentralt aktivitetshus for bygda/grenda, multifunksjonsbygg som benyttes til alt fra idrettsarrangementer til fest og andre sosiale sammenkomster.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/662;
Sentralkjøkken, kantinebygning;532;Kartverket;Gyldig;03.01.2022;1;Sentralkjøkken, kantinebygning, bygning for kjøkken eller kantine tilknyttet større enhet, men der bygningen ligger for seg selv.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/532;
Seterhus, sel, rorbu ol;171;Kartverket;Gyldig;03.01.2022;1;Seterhus, sel, rorbu o.l. Rorbu, hus for fiskere til bruk under de store sesongfiskerier.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/171;
Skogs- og utmarkskoie, gamme;172;Kartverket;Gyldig;03.01.2022;1;Skogs- og utmarkskoie , gamme Skogs- og utmarkskoie, primitiv hytte brukt av jegere og tømmerhuggere. Gamme, jordhytte, særlig brukt av samer.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/172;
Store sammenbygde boligbygg på 2 etg;144;Kartverket;Gyldig;03.01.2022;1;Stort sammenbygde boligbygg på 2 etasjer (5 boliger eller mer);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/144;
Store sammenbygde boligbygg på 3 og 4 etg;145;Kartverket;Gyldig;03.01.2022;1;Store sammenbygde boligbygg på 3 og 4 etasjer (5 boliger eller mer);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/145;
Store sammenbygde boligbygg på 5 el mer;146;Kartverket;Gyldig;03.01.2022;1;Stort sammenh.boligbygg på 5 -> etasjer eller over (5 boliger eller mer). store sammenbygde boligbygg på 5 etasjer eller over (5 boliger eller mer);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/146;
Stort frittliggende boligbygg på 2 etg;141;Kartverket;Gyldig;03.01.2022;1;Stort frittl. boligbygg på 2 etasjer.. stort frittliggende boligbygg på 2 etasjer (5 boliger eller mer);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/141;
Stort frittliggende boligbygg på 3 og 4 etg;142;Kartverket;Gyldig;03.01.2022;1;Stort frittl. boligbygg på 3 og 4 etasj.. stort frittliggende boligbygg på 3 og 4 etasjer (5 boliger eller mer);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/142;
Stort frittliggende boligbygg på 5 etg el mer;143;Kartverket;Gyldig;03.01.2022;1;Stort frittl. boligbygg på 5 -> etasjer. boligblokk på 5 etasjer eller mer (5 boliger eller mer);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/143;
Studenthjem/studentboliger;152;Kartverket;Gyldig;03.01.2022;1;Studenthjem/studentboliger;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/152;
Svømmehall;653;Kartverket;Gyldig;03.01.2022;1;Svømmehall. bygning for innendørs badeanlegg som brukes til undervisning, mosjon, trening og konkurranser.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/653;
Sykehjem;721;Kartverket;Gyldig;03.01.2022;1;Sykehjem. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/721;
Sykehus;719;Kartverket;Gyldig;03.01.2022;1;Annet sykehus. private sykehus eller bygning som har nær tilknytning til/tjener slik(e) bygning(er).  Merknad: Dette gjelder bygninger for lokalsykehus, sentralsykehus, regionsykehus og universitetssykehus. Typen omfatter også spesialsykehus, f.eks. psykiatriske sykehus, rehabiliteringssykehus, reumatiske sykehus, kreftsykehus o.a.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/719;
Synagoge, moske;674;Kartverket;Gyldig;03.01.2022;1;Synagoge, moske. jødisk gudshus (synagoge) eller muslimsk gudshus (moské);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/674;
Terrassehus;135;Kartverket;Gyldig;03.01.2022;1;Terrassehus. større bolighus i bratt terreng hvor bygningen følger hellingen i terrenget;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/135;
Tomannsbolig, horisontaldelt;122;Kartverket;Gyldig;03.01.2022;1;Tomannsbolig, horisontaldelt, bolighus med to boliger, inkl. våningshus på gårdsbruk;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/122;
Tomannsbolig, vertikal;121;Kartverket;Gyldig;03.01.2022;1;Del av tomannsbolig-vertikal, bolighus med to boliger, inkl. våningshus på gårdsbruk;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/121;
Trafikktilsynsbygning;441;Kartverket;Gyldig;03.01.2022;1;Biltilsynsbygning. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/441;
Tribune og idrettsgarderobe;654;Kartverket;Gyldig;03.01.2022;1;Tribune og idrettsgarderobe. innebygd tribuneanlegg til utendørs idrettsanlegg (tribune) eller bygning for garderobe i tilknytning til idrettsanlegg (idrettsgarderobe);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/654;
Ukjent bygningstype;999;Kartverket;Gyldig;03.01.2022;1;Ukjent eller skjermet bygningstype. Bygningen er registrert i matrikkelen, men bygningstype er ikke tilgjengelig.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/999;
Ungdomsskole;614;Kartverket;Gyldig;03.01.2022;1;Ungdomsskole. skolebygning for skoleklassene 8-10, for barn i alderen 13-15 år.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/614;
Universitet, høgskole m/auditorie,lesesal mv.;621;Kartverket;Gyldig;03.01.2022;1;Univ./høgskole m/auditor.leses. universitets- og høgskolebygning med integrerte funksjoner, auditorium, lesesal mv.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/621;
Vandrer-, feriehjem;522;Kartverket;Gyldig;03.01.2022;1;Vandrerhjem, feriehjem/-koloni , turisthytte  Vandrerhjem - rimelig nattelosji, ofte knyttet til medlemskap i en forening.  Feriehjem/-koloni : Sted med formål å skaffe barn et sunt og styrkende ferieopphold og anledning til friluftsliv i samvær med andre barn.  Turisthytte : Opprinnelig turiststasjon, fjellstue, skysstasjon, ofte kombinert med annen næring som gårdsbruk eller vertshus. Brukes også om hytter knyttet til turistforeningens løypenett, der de fleste er betjente, men også noen ubetjente hytter.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/522;
Veksthus;243;Kartverket;Gyldig;03.01.2022;1;Veksthus. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/243;
Verkstedbygning;212;Kartverket;Gyldig;03.01.2022;1;Verkstedbygning. bygning for spesialproduksjon eller reparasjon;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/212;
Videregående skole;616;Kartverket;Gyldig;03.01.2022;1;Videregående skole. skolebygning for skole etter grunnskolen. Allmennfaglig eller yrkesrettet.Ikke høgskole;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/616;
Våninghus som benyttes som fritidsbolig;163;Kartverket;Gyldig;03.01.2022;1;Våningh. benyttes som fritidsb. våningshus som benyttes som fritidsbolig;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/163;
Våninghus tomannsbolig, vertikaldelt;123;Kartverket;Gyldig;03.01.2022;1;Del av våningh.tomannsb/vert.. bolighus med to boliger, inkl. våningshus på gårdsbruk;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/123;
Våningshus;113;Kartverket;Gyldig;03.01.2022;1;Våningshus. enebolig på gårdsbruk, kan også omfatte enebolig med hybelleilighet, sokkelleilighet ol;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/113;
Våningshus tomannsbolig, horisontaldelt;124;Kartverket;Gyldig;03.01.2022;1;Våningsh. tomannsb./horisont.. bolighus med to boliger, inkl. våningshus på gårdsbruk;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/124;
Zoologisk og botanisk hage;643;Kartverket;Gyldig;03.01.2022;1;Zoologisk/botanisk hage (byg.). bygninger i tilknytning til zoologisk og botanisk hage, gjelder også utstillingsbygninger i dyrepark.;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/643;
